TAXON_NAME,STARTDATE,PARENT_NAME,TRAINING,COMMENTS
Pennate diatom < 10 µm,2011-05-17,,,
Pennate diatom > 100 µm,2011-05-17,,,
Peridinium spp.,2011-05-17,,Internal training Pru Bonhma and Gustaaf Hallegraeff,
Phaeocystis spp. (colony),2008-09-29,,,
Phalacroma doryphorum,2008-09-29,,,
Pinus pollen,2008-09-29,,,
Planktoniella sol,2008-09-29,,,
Plastic,2010-07-06,,,
Pleurosigma / Gyrosigma spp.,2008-09-29,,,
Pleurosigma spp. < 150 µm,2010-01-01,,External training Tony John,
Podolampas antarctica,2010-01-01,,,
Podolampas palmipes,2008-09-29,,,
Podolampas spinifera,2008-09-29,,,
Podolampas spp.,2010-01-01,,External training Tony John,
Pollen,2010-01-01,,External training Tony John,
Proboscia alata,2008-09-29,,,
Proboscia inermis,2008-09-29,,,
Proboscia spp.,2008-09-29,,External training Tony John,AusCPR identifies to Probioscia spp. SOCPR speciates Proboscia
Proboscia truncata,2008-09-29,,,
Proplectella acuta,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Proplectella globosa,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Proplectella perpusilla,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Proplectella spp.,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Prorocentrum gracile,2008-09-29,,,
Prorocentrum spp.,2008-09-29,,,
Protoperidinium granii,2010-01-01,,,AusCPR identified this with the start of the West Australian routes.
Protoperidinium spp.,2008-09-29,,,
Protorhabdonella curta,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Protorhabdonella simplex,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Protorhabdonella spp.,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Protozoa,2008-09-29,,,AusCPR identified this with the start of the West Australian routes.
Pseudo-nitzschia spp.,2008-09-29,,,
Pseudosolenia calcar-avis,2008-09-29,,,
Pterosperma polygonum,2008-09-29,,,
Ptychodiscus noctiluca,2008-09-29,,,
Pyrocystis fusiformis,2008-09-29,,,
Pyrocystis hamulus,2008-09-29,,,
Pyrocystis spp.,2008-09-29,,,
Pyrophacus spp.,2012-03-01,,Pru Bonham internal training,
Pyrophacus vancampoae cyst,2012-03-01,,,Not routinely counted
Radiolarian,2010-01-01,,External training Tony John,
Rhabdonella amor,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Rhabdonella apophysata,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Rhabdonella brandti,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Rhabdonella spiralis,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Rhabdonella spp.,2010-01-01,,External training Tony John,
Rhabdonellopsis spp.,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Rhizosolenia acuminata,2008-09-29,,Pru Bonham internal training,
Rhizosolenia bergonii,2008-09-29,,,
Rhizosolenia chunii,2008-09-29,,,
Rhizosolenia fallax,2008-09-29,,Hobart phytoplankton workshop Feb2015,R. fallax group used if unsure of identification if sure R. fallax may be used
Rhizosolenia hebetata f. semispina,2008-09-29,,,
Rhizosolenia imbricata,2008-09-29,,Hobart phytoplankton workshop Feb2015,R. imbricata group used if unsure of identification if sure R. imbricata may be used
Rhizosolenia imbricata group,2012-03-01,,Pru Bonham internal training,
Rhizosolenia setigera,2008-09-29,,Hobart phytoplankton workshop Feb2015,R. setigera group used if unsure of identification if sure R. setigera may be used
Rhizosolenia setigera group,2008-09-29,,,
Rhizosolenia simplex,2008-09-29,,,
Rhizosolenia spp.,2008-09-29,,,
Rhizosolenia styliformis,2008-09-29,,Hobart phytoplankton workshop Feb2015,R. styliformis group used if unsure of identification if sure R. styliformis may be used
Rimostrombidium spp.,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Sagenoarium spp.,2010-01-01,,External training Tony John,
Salpingella acuminata,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Salpingella costata,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Salpingella minutissima,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Salpingella spp.,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Salpingella subconica,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Scrippsiella spp.,2010-01-01,,External training Tony John,
Silicoflagellate,2008-09-29,,,
Skeletonema pseudocostatum,2008-09-29,,,
Skeletonema spp.,2008-09-29,,,
Spermatophore,2010-01-01,,External training Tony John,
Spicule,2010-01-01,,External training Tony John,
Spikey balls,2010-01-01,,External training Tony John,
Steenstrupiella cf. steenstrupii,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Steenstrupiella intumescens,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Steenstrupiella spp.,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Steenstrupiella steenstrupii,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Stellate body,2010-01-01,,External training Tony John,
Stenosemella nivalis,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Stephanopyxis spp.,2010-01-01,,External training Tony John,
Striatella spp.,2008-09-29,,,
Strombidiidae,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Strombidinopsidae,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Strombidium capitatum,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Strombidium conicum,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Strombidium spp.,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Strombidium wulffi,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Thalassionema nitzschioides,2010-01-01,,External training Tony John,
Thalassionema spp.,2008-09-29,,,
Thalassionema spp. < 100 µm length,2008-09-29,,,
Thalassionema spp. > 100 µm length,2008-09-29,,,
Thalassiosira eccentrica,2008-09-29,,,
Thalassiosira oliveriana,2008-09-29,,,
Thalassiosira spp.,2008-09-29,,,
Thalassiosira spp. 60-80 µm,2008-09-29,,,
Thalassiothrix antarctica,2008-09-29,,,
Thalassiothrix cf. spp.,2008-09-29,,,
Thalassiothrix spp.,2008-09-29,,Internal training Pru Bonhma and Gustaaf Hallegraeff,
Theoperidae,2010-11-01,,,AusCPR identified this with the start of the West Australian routes.
Tintinnidium spp.,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Tintinnina ,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Tintinnopsis compressa,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Tintinnopsis cylindrica,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Tintinnopsis gracilis,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Tintinnopsis lobiancoi,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Tintinnopsis minuta,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Tintinnopsis mortensenii,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Tintinnopsis radix,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Tintinnopsis rotundata,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Tintinnopsis spp.,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Tintinnopsis tocantinensis,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Tontonia spp.,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Trichodesmium spp.,2008-09-29,,,
Trichodesmium thiebautii,2008-09-29,,,
Trichotoxon reinboldii,2008-09-29,,,
Trigonium spp.,2008-09-29,,,
Tripos arietinus,2008-09-29,,,
Tripos axialis,2010-01-01,,External training Tony John,
Tripos belone,2008-09-29,,,
Tripos biceps,2010-01-01,,External training Tony John,
Tripos brevis,2010-01-01,,External training Tony John,
Tripos candelabrum,2010-01-01,,External training Tony John,
Tripos carriensis,2010-01-01,,External training Tony John,
Tripos cephalotus,2008-09-29,,,
Tripos concilians,2008-09-29,,,
Tripos contortus,2010-01-01,,External training Tony John,
Tripos contrarius,2010-01-01,,External training Tony John,
Tripos declinatus,2010-01-01,,External training Tony John,
Tripos deflexus,2008-09-29,,,
Tripos euarcuatus,2008-09-29,,,
Tripos extensus,2010-01-01,,External training Tony John,
Tripos furca,2010-01-01,,External training Tony John,
Tripos fusus,2010-01-01,,External training Tony John,
Tripos fusus/extensus,2008-09-29,,,
Tripos gibberus,2008-09-29,,,
Tripos gravidus,2008-09-29,,External training Tony John,
Tripos gravidus type,2011-05-17,,,
Tripos hexacanthus,2008-09-29,,External training Tony John,
Tripos horridus,2010-01-01,,External training Tony John,
Tripos incisus,2008-09-29,,,
Tripos kofoidii,2010-01-01,,External training Tony John,
Tripos limulus,2008-09-29,,,
Tripos lineatus,2010-01-01,,External training Tony John,
Tripos lineatus/pentagonus complex,2008-09-29,,,
Tripos longipes,2010-01-01,,External training Tony John,
Tripos lunula,2010-01-01,,External training Tony John,
Tripos macroceros,2010-01-01,,External training Tony John,
Tripos macroceros type,2011-05-17,,,
Tripos massiliensis,2010-01-01,,External training Tony John,
Tripos muelleri,2008-09-29,,External training Tony John,
Tripos pentagonus,2010-01-01,,External training Tony John,
Tripos platycornis,2010-01-01,,External training Tony John,
Tripos ranipes,2010-01-01,,External training Tony John,
Tripos reflexus,2008-09-29,,,
Tripos setaceus,2008-09-29,,,
Tripos spp.,2010-01-01,,External training Tony John,
Tripos symmetricus,2010-01-01,,External training Tony John,
Tripos tenuis,2008-09-29,,,
Tripos teres,2008-09-29,,,
Tripos trichoceros,2010-01-01,,External training Tony John,
Tripos vultur,2010-01-01,,External training Tony John,
Undella claparedi,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Undella hyalina,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Undella turgida,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Unid diatom,2008-09-29,,,
Unid dinoflagellate 10 - 30 µm,2008-09-29,,,
Unid dinoflagellate 30 - 50 µm,2008-09-29,,,
Unid dinoflagellate < 10 µm,2008-09-29,,Pru Bonham internal training,New taxon groups made to replace armoured not armoured as this is too hard to distinguish
Unid dinoflagellate > 10 µm,2008-09-29,,Pru Bonham internal training,New taxon groups made to replace armoured not armoured as this is too hard to distinguish
Vorticella spp.,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Xystonella lanceolata,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Xystonella longicauda,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Xystonella treforti,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Xystonellopsis cymatica,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
Xystonellopsis spp.,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
cf. Dactyliosolen spp.,2008-09-29,,,
cf. Leptocylindrus spp.,2008-09-29,,,
cf. Lioloma spp.,2010-11-01,,,
cf. Melosira spp.,2008-09-29,,,
cf. Mesodinium spp.,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
cf. Psammodictyon spp.,2008-09-29,,,
cf. Strombidium spp.,2012-03-01,No previous id,Tintinnids and Forams not counted routinely in AusCPR before March 2013,Ciliates not previously counted routinely in AusCPR samples
