I_SAMPLE_ID,TRIP_CODE,SCIENTIFICNAME,SPCODE,TAXON_COUNT,COMMENTS
431,FR 02/94,Scorpaenidae - undifferentiated,37287900,4,
431,FR 02/94,Sillaginidae - undifferentiated,37330000,40,
431,FR 02/94,Superclass Pisces - undifferentiated,37000000,55,Unidentified as too damaged or unknown
431,FR 02/94,Synodontidae - undifferentiated,37118906,1,
431,FR 02/94,Tetraodontidae - undifferentiated,37467000,3,
431,FR 02/94,Trachurus novaezelandiae,37337003,143,
431,FR 02/94,Triglidae & Peristediidae - undifferentiated,37288000,12,
432,FR 02/94,Alabes spp.,37206901,2,
432,FR 02/94,Ambassis jacksoniensis,37310012,1,
432,FR 02/94,Argyrosomus japonicus,37354001,3,
432,FR 02/94,Bothidae - undifferentiated,37460922,3,
432,FR 02/94,Carapidae - undifferentiated,37229000,2,
432,FR 02/94,Centroberyx affinis,37258003,88,
432,FR 02/94,Creediidae - undifferentiated,37395000,1,
432,FR 02/94,Cynoglossidae - undifferentiated,37463000,2,
432,FR 02/94,Engraulis australis,37086001,57,
432,FR 02/94,Etrumeus teres,37085001,1,
432,FR 02/94,Gempylidae - undifferentiated,37439918,1,
432,FR 02/94,Gerres subfasciatus,37349005,15,
432,FR 02/94,Gobiidae - undifferentiated,37428000,2,
432,FR 02/94,Gonorynchus greyi,37141001,7,
432,FR 02/94,Gonostomatidae - undifferentiated,37106912,117,
432,FR 02/94,Hime spp.,37117902,2,
432,FR 02/94,Howella spp.,37327912,1,
432,FR 02/94,Hyperlophus vittatus,37085005,4,
432,FR 02/94,Labridae - undifferentiated,37384000,2,
432,FR 02/94,Liza argentea,37381004,4,
432,FR 02/94,Macroramphosus spp.,37279902,1,
432,FR 02/94,Monacanthidae - undifferentiated,37465903,2,
432,FR 02/94,Myctophidae - undifferentiated,37122000,138,
432,FR 02/94,Order Anguilliformes - undifferentiated,37990025,10,
432,FR 02/94,Pempheris spp.,37357903,6,
432,FR 02/94,Platycephalidae - undifferentiated,37296900,11,
432,FR 02/94,Pomacentridae - undifferentiated,37372000,17,
432,FR 02/94,Pseudocaranx georgianus,37337062,168,
432,FR 02/94,Pseudorhombus spp.,37460919,5,
432,FR 02/94,Sardinops sagax,37085002,10,
432,FR 02/94,Schuettea spp.,37356902,10,
432,FR 02/94,Scorpaenidae - undifferentiated,37287900,4,
432,FR 02/94,Sillago flindersi,37330014,59,
432,FR 02/94,Sphyraena spp.,37382901,1,
432,FR 02/94,Superclass Pisces - undifferentiated,37000000,13,Unidentified as too damaged or unknown
432,FR 02/94,Synodontidae - undifferentiated,37118906,2,
432,FR 02/94,Trachurus novaezelandiae,37337003,14,
433,FR 02/94,Carangidae - undifferentiated,37337000,94,
433,FR 02/94,Centroberyx affinis,37258003,6,
433,FR 02/94,Cynoglossidae - undifferentiated,37463000,2,
433,FR 02/94,Gonorynchus greyi,37141001,3,
433,FR 02/94,Gonostomatidae - undifferentiated,37106912,1,
433,FR 02/94,Mugilidae - undifferentiated,37381000,2,
433,FR 02/94,Mullidae - undifferentiated,37355000,20,
433,FR 02/94,Myctophidae - undifferentiated,37122000,10,
433,FR 02/94,Pomacentridae - undifferentiated,37372000,7,
433,FR 02/94,Scombridae - undifferentiated,37441000,1,
433,FR 02/94,Scorpaenidae - undifferentiated,37287900,1,
433,FR 02/94,Sillaginidae - undifferentiated,37330000,1,
433,FR 02/94,Superclass Pisces - undifferentiated,37000000,1,Unidentified as too damaged or unknown
433,FR 02/94,Synodontidae - undifferentiated,37118906,1,
434,FR 02/94,Carangidae - undifferentiated,37337000,59,
434,FR 02/94,Centroberyx affinis,37258003,4,
434,FR 02/94,Dactyloptena spp.,37308902,1,
434,FR 02/94,Gonostomatidae - undifferentiated,37106912,3,
434,FR 02/94,Mugilidae - undifferentiated,37381000,1,
434,FR 02/94,Mullidae - undifferentiated,37355000,2,
434,FR 02/94,Myctophidae - undifferentiated,37122000,25,
434,FR 02/94,Order Anguilliformes - undifferentiated,37990025,1,
434,FR 02/94,Platycephalidae - undifferentiated,37296900,1,
434,FR 02/94,Pomacentridae - undifferentiated,37372000,6,
434,FR 02/94,Scomberesox saurus,37236001,1,
434,FR 02/94,Sillaginidae - undifferentiated,37330000,3,
434,FR 02/94,Sparidae - undifferentiated,37353000,1,
434,FR 02/94,Synodontidae - undifferentiated,37118906,5,
435,FR 02/94,Argentinidae - undifferentiated,37097905,1,
435,FR 02/94,Berycidae - undifferentiated,37258000,1,
435,FR 02/94,Bothidae - undifferentiated,37460922,7,
435,FR 02/94,Callionymidae - undifferentiated,37427917,6,
435,FR 02/94,Cepola australis,37380001,1,
435,FR 02/94,Gonostomatidae - undifferentiated,37106912,10,
435,FR 02/94,Moridae - undifferentiated,37224903,4,
435,FR 02/94,Myctophidae - undifferentiated,37122000,32,
435,FR 02/94,Order Anguilliformes - undifferentiated,37990025,3,
435,FR 02/94,Pinguipedidae - undifferentiated,37390000,1,
435,FR 02/94,Platycephalidae - undifferentiated,37296900,4,
435,FR 02/94,Pseudocaranx georgianus,37337062,1,
435,FR 02/94,Superclass Pisces - undifferentiated,37000000,1,Unidentified as too damaged or unknown
435,FR 02/94,Trachurus novaezelandiae,37337003,64,
435,FR 02/94,Triglidae & Peristediidae - undifferentiated,37288000,15,
435,FR 02/94,Verilus anomalus,37311053,1,
436,FR 02/94,Bothidae - undifferentiated,37460922,40,
436,FR 02/94,Callionymidae - undifferentiated,37427917,8,
436,FR 02/94,Chauliodontidae - undifferentiated,37111000,1,
436,FR 02/94,Cynoglossidae - undifferentiated,37463000,1,
436,FR 02/94,Engraulis australis,37086001,1,
436,FR 02/94,Gonostomatidae - undifferentiated,37106912,10,
436,FR 02/94,Hime spp.,37117902,1,
436,FR 02/94,Labridae - undifferentiated,37384000,2,
436,FR 02/94,Liza argentea,37381004,1,
436,FR 02/94,Moridae - undifferentiated,37224903,5,
436,FR 02/94,Myctophidae - undifferentiated,37122000,69,
436,FR 02/94,Neosebastes spp.,37287927,1,
436,FR 02/94,Nomeidae - undifferentiated,37446000,1,
436,FR 02/94,Ophidiidae - undifferentiated,37228961,1,
436,FR 02/94,Order Anguilliformes - undifferentiated,37990025,13,
436,FR 02/94,Pempheris spp.,37357903,1,
436,FR 02/94,Percophidae - undifferentiated,37393900,2,
436,FR 02/94,Pinguipedidae - undifferentiated,37390000,1,
436,FR 02/94,Platycephalidae - undifferentiated,37296900,16,
436,FR 02/94,Pseudocaranx georgianus,37337062,6,
436,FR 02/94,Pseudorhombus spp.,37460919,2,
436,FR 02/94,Sardinops sagax,37085002,3,
436,FR 02/94,Sillago flindersi,37330014,6,
436,FR 02/94,Soleidae - undifferentiated,37462000,1,
436,FR 02/94,Superclass Pisces - undifferentiated,37000000,7,Unidentified as too damaged or unknown
436,FR 02/94,Trachurus novaezelandiae,37337003,99,
436,FR 02/94,Triglidae & Peristediidae - undifferentiated,37288000,35,
436,FR 02/94,Verilus anomalus,37311053,5,
437,FR 02/94,Ambassis jacksoniensis,37310012,1,
437,FR 02/94,Astronesthidae - undifferentiated,37108000,1,
437,FR 02/94,Bothidae - undifferentiated,37460922,29,
437,FR 02/94,Brama spp.,37342900,1,
437,FR 02/94,Callionymidae - undifferentiated,37427917,3,
437,FR 02/94,Centroberyx affinis,37258003,64,
437,FR 02/94,Chiasmodontidae - undifferentiated,37402000,1,
437,FR 02/94,Coryphaena spp.,37338901,1,
437,FR 02/94,Cynoglossidae - undifferentiated,37463000,4,
437,FR 02/94,Engraulis australis,37086001,8,
437,FR 02/94,Evermannellidae - undifferentiated,37130000,1,
437,FR 02/94,Gobiidae - undifferentiated,37428000,10,
437,FR 02/94,Gonorynchus greyi,37141001,5,
437,FR 02/94,Gonostomatidae - undifferentiated,37106912,45,
437,FR 02/94,Hime spp.,37117902,2,
437,FR 02/94,Howella spp.,37327912,2,
437,FR 02/94,Labridae - undifferentiated,37384000,8,
437,FR 02/94,Macroramphosus spp.,37279902,1,
437,FR 02/94,Microdesmidae - undifferentiated,37435000,1,
437,FR 02/94,Monacanthidae - undifferentiated,37465903,1,
437,FR 02/94,Mullidae - undifferentiated,37355000,1,
437,FR 02/94,Myctophidae - undifferentiated,37122000,172,
437,FR 02/94,Nomeidae - undifferentiated,37446000,1,
437,FR 02/94,Ophidiidae - undifferentiated,37228961,1,
437,FR 02/94,Order Anguilliformes - undifferentiated,37990025,29,
437,FR 02/94,Order Lophiiformes - undifferentiated,37990052,1,
437,FR 02/94,Ostraciidae - undifferentiated,37466912,1,
437,FR 02/94,Platycephalidae - undifferentiated,37296900,5,
437,FR 02/94,Pseudocaranx georgianus,37337062,13,
437,FR 02/94,Pseudorhombus spp.,37460919,5,
437,FR 02/94,Schindleria spp.,37424901,1,
437,FR 02/94,Scorpaenidae - undifferentiated,37287900,11,
437,FR 02/94,Serranidae subfam. Anthiinae,37311907,2,
437,FR 02/94,Sillaginidae - undifferentiated,37330000,37,
437,FR 02/94,Superclass Pisces - undifferentiated,37000000,12,Unidentified as too damaged or unknown
437,FR 02/94,Synodontidae - undifferentiated,37118906,2,
437,FR 02/94,Tetragonurus spp.,37449901,2,
437,FR 02/94,Tetraodontidae - undifferentiated,37467000,3,
437,FR 02/94,Trachurus novaezelandiae,37337003,63,
437,FR 02/94,Triglidae & Peristediidae - undifferentiated,37288000,12,
438,FR 02/94,Bothidae - undifferentiated,37460922,4,
438,FR 02/94,Carangidae - undifferentiated,37337000,3,
438,FR 02/94,Gobiidae - undifferentiated,37428000,1,
438,FR 02/94,Gonostomatidae - undifferentiated,37106912,6,
438,FR 02/94,Labridae: Scarinae - undifferentiated,37386000,1,
438,FR 02/94,Mullidae - undifferentiated,37355000,1,
438,FR 02/94,Myctophidae - undifferentiated,37122000,117,
438,FR 02/94,Pomacentridae - undifferentiated,37372000,3,
438,FR 02/94,Scorpaenidae - undifferentiated,37287900,1,
438,FR 02/94,Sillaginidae - undifferentiated,37330000,2,
438,FR 02/94,Synodontidae - undifferentiated,37118906,4,
438,FR 02/94,Tetragonurus spp.,37449901,2,
439,FR 02/94,Apogonidae - undifferentiated,37327926,1,
439,FR 02/94,Bothidae - undifferentiated,37460922,1,
439,FR 02/94,Carangidae - undifferentiated,37337000,3,
439,FR 02/94,Dactyloptena spp.,37308902,1,
439,FR 02/94,Gonostomatidae - undifferentiated,37106912,6,
439,FR 02/94,Lethrinus spp.,37351902,1,
439,FR 02/94,Melanostomiidae - undifferentiated,37109000,3,
439,FR 02/94,Mullidae - undifferentiated,37355000,1,
439,FR 02/94,Myctophidae - undifferentiated,37122000,20,
439,FR 02/94,Pelates spp.,37321908,1,
439,FR 02/94,Pomacentridae - undifferentiated,37372000,3,
439,FR 02/94,Scorpaenidae - undifferentiated,37287900,2,
439,FR 02/94,Sillaginidae - undifferentiated,37330000,2,
439,FR 02/94,Synodontidae - undifferentiated,37118906,2,
440,FR 02/94,Callionymidae - undifferentiated,37427917,1,
440,FR 02/94,Gonostomatidae - undifferentiated,37106912,2,
440,FR 02/94,Myctophidae - undifferentiated,37122000,3,
440,FR 02/94,Notosudidae - undifferentiated,37125000,4,
440,FR 02/94,Paralepididae - undifferentiated,37126000,9,
440,FR 02/94,Superclass Pisces - undifferentiated,37000000,1,Unidentified as too damaged or unknown
441,FR 02/94,Callionymidae - undifferentiated,37427917,1,
441,FR 02/94,Centroberyx affinis,37258003,2,
441,FR 02/94,Gonostomatidae - undifferentiated,37106912,11,
441,FR 02/94,Melamphaidae - undifferentiated,37251000,1,
441,FR 02/94,Moridae - undifferentiated,37224903,6,
441,FR 02/94,Myctophidae - undifferentiated,37122000,33,
441,FR 02/94,Order Anguilliformes - undifferentiated,37990025,6,
441,FR 02/94,Platycephalidae - undifferentiated,37296900,2,
441,FR 02/94,Pseudocaranx georgianus,37337062,2,
441,FR 02/94,Superclass Pisces - undifferentiated,37000000,1,Unidentified as too damaged or unknown
441,FR 02/94,Trachurus novaezelandiae,37337003,18,
441,FR 02/94,Triglidae & Peristediidae - undifferentiated,37288000,6,
442,FR 02/94,Arripis trutta,37344002,1,
442,FR 02/94,Bothidae - undifferentiated,37460922,15,
442,FR 02/94,Callionymidae - undifferentiated,37427917,4,
442,FR 02/94,Carangidae - undifferentiated,37337000,4,
442,FR 02/94,Centroberyx affinis,37258003,33,
442,FR 02/94,Centropogon australis,37287048,3,
442,FR 02/94,Cepola australis,37380001,4,
442,FR 02/94,Chrysophrys auratus,37353001,1,
442,FR 02/94,Coryphaena spp.,37338901,1,
442,FR 02/94,Cynoglossidae - undifferentiated,37463000,1,
442,FR 02/94,Engraulis australis,37086001,24,
442,FR 02/94,Gerres subfasciatus,37349005,19,
442,FR 02/94,Girella tricuspidata,37361007,10,
442,FR 02/94,Gobiidae - undifferentiated,37428000,2,
442,FR 02/94,Gonorynchus greyi,37141001,4,
442,FR 02/94,Gonostomatidae - undifferentiated,37106912,19,
442,FR 02/94,Hime spp.,37117902,2,
442,FR 02/94,Howella spp.,37327912,3,
442,FR 02/94,Labridae - undifferentiated,37384000,4,
442,FR 02/94,Liza argentea,37381004,2,
442,FR 02/94,Monacanthidae - undifferentiated,37465903,1,
442,FR 02/94,Mullidae - undifferentiated,37355000,1,
442,FR 02/94,Myctophidae - undifferentiated,37122000,71,
442,FR 02/94,Neosebastes spp.,37287927,1,
442,FR 02/94,Order Anguilliformes - undifferentiated,37990025,48,
442,FR 02/94,Order Lampridiformes - undifferentiated,37990051,1,
442,FR 02/94,Paralepididae - undifferentiated,37126000,2,
442,FR 02/94,Pempheris spp.,37357903,1,
442,FR 02/94,Platycephalidae - undifferentiated,37296900,38,
442,FR 02/94,Pomacentridae - undifferentiated,37372000,2,
442,FR 02/94,Pseudocaranx georgianus,37337062,113,
442,FR 02/94,Pseudorhombus spp.,37460919,4,
442,FR 02/94,Sardinops sagax,37085002,5,
442,FR 02/94,Schuettea spp.,37356902,2,
442,FR 02/94,Scorpaenidae - undifferentiated,37287900,4,
442,FR 02/94,Serranidae subfam. Anthiinae,37311907,1,
442,FR 02/94,Sillago flindersi,37330014,44,
442,FR 02/94,Soleidae - undifferentiated,37462000,1,
442,FR 02/94,Superclass Pisces - undifferentiated,37000000,9,Unidentified as too damaged or unknown
442,FR 02/94,Tetragonurus spp.,37449901,1,
442,FR 02/94,Trachichthyidae - undifferentiated,37255000,1,
442,FR 02/94,Trachurus novaezelandiae,37337003,150,
442,FR 02/94,Triglidae & Peristediidae - undifferentiated,37288000,17,
442,FR 02/94,Verilus anomalus,37311053,1,
443,FR 02/94,Antennariidae - undifferentiated,37210915,1,
443,FR 02/94,Bothidae - undifferentiated,37460922,1,
443,FR 02/94,Carangidae - undifferentiated,37337000,23,
443,FR 02/94,Centroberyx affinis,37258003,2,
443,FR 02/94,Cynoglossidae - undifferentiated,37463000,1,
443,FR 02/94,Dactyloptena spp.,37308902,2,
443,FR 02/94,Engraulis australis,37086001,4,
443,FR 02/94,Gerres subfasciatus,37349005,4,
443,FR 02/94,Gonorynchus greyi,37141001,2,
443,FR 02/94,Gonostomatidae - undifferentiated,37106912,19,
443,FR 02/94,Mugilidae - undifferentiated,37381000,4,
443,FR 02/94,Myctophidae - undifferentiated,37122000,119,
443,FR 02/94,Order Anguilliformes - undifferentiated,37990025,3,
443,FR 02/94,Platycephalidae - undifferentiated,37296900,2,
443,FR 02/94,Pseudorhombus spp.,37460919,1,
443,FR 02/94,Scomberesox saurus,37236001,2,
443,FR 02/94,Scorpaenidae - undifferentiated,37287900,1,
443,FR 02/94,Sillaginidae - undifferentiated,37330000,15,
443,FR 02/94,Superclass Pisces - undifferentiated,37000000,1,Unidentified as too damaged or unknown
443,FR 02/94,Tetraodontidae - undifferentiated,37467000,2,
444,FR 02/94,Apogonidae - undifferentiated,37327926,1,
444,FR 02/94,Argyrosomus japonicus,37354001,1,
444,FR 02/94,Atypichthys strigatus,37361010,2,
444,FR 02/94,Bothidae - undifferentiated,37460922,1,
444,FR 02/94,Carangidae - undifferentiated,37337000,9,
444,FR 02/94,Centroberyx affinis,37258003,7,
444,FR 02/94,Clupeidae - undifferentiated,37085922,4,
444,FR 02/94,Creediidae - undifferentiated,37395000,1,
444,FR 02/94,Gerres subfasciatus,37349005,1,
444,FR 02/94,Gonostomatidae - undifferentiated,37106912,8,
444,FR 02/94,Labridae - undifferentiated,37384000,3,
444,FR 02/94,Mugilidae - undifferentiated,37381000,1,
444,FR 02/94,Mullidae - undifferentiated,37355000,2,
444,FR 02/94,Myctophidae - undifferentiated,37122000,43,
444,FR 02/94,Order Anguilliformes - undifferentiated,37990025,1,
444,FR 02/94,Pomacentridae - undifferentiated,37372000,1,
444,FR 02/94,Scorpaenidae - undifferentiated,37287900,1,
444,FR 02/94,Sillaginidae - undifferentiated,37330000,4,
444,FR 02/94,Soleidae - undifferentiated,37462000,1,
444,FR 02/94,Superclass Pisces - undifferentiated,37000000,5,Unidentified as too damaged or unknown
444,FR 02/94,Synodontidae - undifferentiated,37118906,1,
444,FR 02/94,Triglidae & Peristediidae - undifferentiated,37288000,1,
445,FR 02/94,Labridae - undifferentiated,37384000,2,
445,FR 02/94,Myctophidae - undifferentiated,37122000,5,
445,FR 02/94,Notosudidae - undifferentiated,37125000,1,
445,FR 02/94,Paralepididae - undifferentiated,37126000,6,
445,FR 02/94,Scopelarchidae - undifferentiated,37131000,1,
445,FR 02/94,Superclass Pisces - undifferentiated,37000000,2,Unidentified as too damaged or unknown
446,FR 02/94,Antennariidae - undifferentiated,37210915,1,
446,FR 02/94,Bothidae - undifferentiated,37460922,9,
446,FR 02/94,Callionymidae - undifferentiated,37427917,1,
446,FR 02/94,Centropogon australis,37287048,1,
446,FR 02/94,Gobiidae - undifferentiated,37428000,1,
446,FR 02/94,Gonostomatidae - undifferentiated,37106912,18,
446,FR 02/94,Howella spp.,37327912,7,
446,FR 02/94,Hyperlophus vittatus,37085005,1,
446,FR 02/94,Labridae - undifferentiated,37384000,3,
446,FR 02/94,Labridae: Scarinae - undifferentiated,37386000,1,
446,FR 02/94,Melamphaidae - undifferentiated,37251000,1,
446,FR 02/94,Moridae - undifferentiated,37224903,1,
446,FR 02/94,Myctophidae - undifferentiated,37122000,73,
446,FR 02/94,Nomeidae - undifferentiated,37446000,5,
446,FR 02/94,Order Anguilliformes - undifferentiated,37990025,5,
446,FR 02/94,Order Lophiiformes - undifferentiated,37990052,1,
446,FR 02/94,Platycephalidae - undifferentiated,37296900,2,
446,FR 02/94,Sardinops sagax,37085002,1,
446,FR 02/94,Scorpaenidae - undifferentiated,37287900,1,
446,FR 02/94,Superclass Pisces - undifferentiated,37000000,6,Unidentified as too damaged or unknown
446,FR 02/94,Tetraodontidae - undifferentiated,37467000,2,
446,FR 02/94,Trachurus novaezelandiae,37337003,5,
446,FR 02/94,Triglidae & Peristediidae - undifferentiated,37288000,2,
447,FR 02/94,Bothidae - undifferentiated,37460922,3,
447,FR 02/94,Gonostomatidae - undifferentiated,37106912,1,
447,FR 02/94,Myctophidae - undifferentiated,37122000,11,
447,FR 02/94,Order Anguilliformes - undifferentiated,37990025,1,
447,FR 02/94,Sillago flindersi,37330014,1,
447,FR 02/94,Superclass Pisces - undifferentiated,37000000,1,Unidentified as too damaged or unknown
447,FR 02/94,Trachurus novaezelandiae,37337003,2,
447,FR 02/94,Triglidae & Peristediidae - undifferentiated,37288000,1,
448,FR 02/94,Apogonidae - undifferentiated,37327926,1,
448,FR 02/94,Carangidae - undifferentiated,37337000,1,
448,FR 02/94,Gonostomatidae - undifferentiated,37106912,23,
448,FR 02/94,Myctophidae - undifferentiated,37122000,263,
448,FR 02/94,Scomberesox saurus,37236001,1,
448,FR 02/94,Superclass Pisces - undifferentiated,37000000,6,Unidentified as too damaged or unknown
448,FR 02/94,Synodontidae - undifferentiated,37118906,1,
449,FR 02/94,Bothidae - undifferentiated,37460922,2,
449,FR 02/94,Carangidae - undifferentiated,37337000,1,
449,FR 02/94,Coryphaena spp.,37338901,2,
449,FR 02/94,Gonostomatidae - undifferentiated,37106912,14,
449,FR 02/94,Labridae - undifferentiated,37384000,1,
449,FR 02/94,Myctophidae - undifferentiated,37122000,66,
449,FR 02/94,Ophidiidae - undifferentiated,37228961,1,
449,FR 02/94,Pomacentridae - undifferentiated,37372000,1,
449,FR 02/94,Sillaginidae - undifferentiated,37330000,1,
449,FR 02/94,Superclass Pisces - undifferentiated,37000000,3,Unidentified as too damaged or unknown
449,FR 02/94,Synodontidae - undifferentiated,37118906,3,
449,FR 02/94,Tetragonurus spp.,37449901,1,
450,FR 02/94,Callionymidae - undifferentiated,37427917,2,
450,FR 02/94,Gonostomatidae - undifferentiated,37106912,6,
450,FR 02/94,Myctophidae - undifferentiated,37122000,68,
450,FR 02/94,Nomeidae - undifferentiated,37446000,1,
450,FR 02/94,Order Lophiiformes - undifferentiated,37990052,1,
450,FR 02/94,Paralepididae - undifferentiated,37126000,2,
450,FR 02/94,Superclass Pisces - undifferentiated,37000000,1,Unidentified as too damaged or unknown
450,FR 02/94,Synodontidae - undifferentiated,37118906,1,
450,FR 02/94,Tetragonurus spp.,37449901,1,
451,FR 02/94,Bothidae - undifferentiated,37460922,14,
451,FR 02/94,Bregmaceros spp.,37225901,2,
451,FR 02/94,Callionymidae - undifferentiated,37427917,1,
451,FR 02/94,Chiasmodontidae - undifferentiated,37402000,1,
451,FR 02/94,Gobiidae - undifferentiated,37428000,6,
451,FR 02/94,Gonostomatidae - undifferentiated,37106912,65,
451,FR 02/94,Howella spp.,37327912,10,
451,FR 02/94,Labridae - undifferentiated,37384000,10,
451,FR 02/94,Myctophidae - undifferentiated,37122000,255,
451,FR 02/94,Order Anguilliformes - undifferentiated,37990025,3,
451,FR 02/94,Order Lophiiformes - undifferentiated,37990052,1,
451,FR 02/94,Scopelarchidae - undifferentiated,37131000,1,
451,FR 02/94,Scorpaenidae - undifferentiated,37287900,2,
451,FR 02/94,Serranidae subfam. Anthiinae,37311907,1,
451,FR 02/94,Superclass Pisces - undifferentiated,37000000,1,Unidentified as too damaged or unknown
451,FR 02/94,Tetraodontidae - undifferentiated,37467000,1,
451,FR 02/94,Triglidae & Peristediidae - undifferentiated,37288000,1,
452,FR 02/94,Acanthuridae - undifferentiated,37437900,1,
452,FR 02/94,Apogonidae - undifferentiated,37327926,1,
452,FR 02/94,Bothidae - undifferentiated,37460922,10,
452,FR 02/94,Centroberyx affinis,37258003,2,
452,FR 02/94,Chiasmodontidae - undifferentiated,37402000,1,
452,FR 02/94,Gobiidae - undifferentiated,37428000,6,
452,FR 02/94,Gonostomatidae - undifferentiated,37106912,325,
452,FR 02/94,Howella spp.,37327912,4,
452,FR 02/94,Labridae - undifferentiated,37384000,6,
452,FR 02/94,Monacanthidae - undifferentiated,37465903,1,
452,FR 02/94,Myctophidae - undifferentiated,37122000,453,
452,FR 02/94,Nomeidae - undifferentiated,37446000,1,
452,FR 02/94,Order Anguilliformes - undifferentiated,37990025,4,
452,FR 02/94,Order Lophiiformes - undifferentiated,37990052,1,
452,FR 02/94,Paralepididae - undifferentiated,37126000,8,
452,FR 02/94,Schindleria spp.,37424901,1,
452,FR 02/94,Serranidae subfam. Epinephelinae,37311908,1,
452,FR 02/94,Superclass Pisces - undifferentiated,37000000,2,Unidentified as too damaged or unknown
452,FR 02/94,Synodontidae - undifferentiated,37118906,6,
452,FR 02/94,Tetragonurus spp.,37449901,3,
453,FR 02/94,Clupeidae - undifferentiated,37085922,1,
453,FR 02/94,Gonorynchus greyi,37141001,2,
453,FR 02/94,Gonostomatidae - undifferentiated,37106912,15,
453,FR 02/94,Myctophidae - undifferentiated,37122000,50,
453,FR 02/94,Platycephalidae - undifferentiated,37296900,1,
453,FR 02/94,Scomberesox saurus,37236001,2,
453,FR 02/94,Scombridae - undifferentiated,37441000,1,
454,FR 02/94,Apogonidae - undifferentiated,37327926,1,
454,FR 02/94,Chaetodontidae - undifferentiated,37365900,1,
454,FR 02/94,Engraulis australis,37086001,1,
454,FR 02/94,Gonorynchus greyi,37141001,2,
454,FR 02/94,Gonostomatidae - undifferentiated,37106912,1,
454,FR 02/94,Mullidae - undifferentiated,37355000,1,
454,FR 02/94,Myctophidae - undifferentiated,37122000,49,
454,FR 02/94,Scomberesox saurus,37236001,2,
455,FR 04/94,Carangidae - undifferentiated,37337000,3,
455,FR 04/94,Gonostomatidae - undifferentiated,37106912,1,
455,FR 04/94,Mugilidae - undifferentiated,37381000,1,
455,FR 04/94,Mullidae - undifferentiated,37355000,3,
455,FR 04/94,Myctophidae - undifferentiated,37122000,17,
455,FR 04/94,Platycephalidae - undifferentiated,37296900,1,
456,FR 04/94,Ambassis jacksoniensis,37310012,1,
456,FR 04/94,Argyrosomus japonicus,37354001,1,
456,FR 04/94,Bregmaceros spp.,37225901,2,
456,FR 04/94,Callionymidae - undifferentiated,37427917,109,
456,FR 04/94,Cepola australis,37380001,174,
456,FR 04/94,Champsodontidae - undifferentiated,37401000,1,
456,FR 04/94,Creediidae - undifferentiated,37395000,82,
456,FR 04/94,Engraulis australis,37086001,1,
456,FR 04/94,Gobiidae - undifferentiated,37428000,12,
456,FR 04/94,Hime spp.,37117902,2,
456,FR 04/94,Labridae - undifferentiated,37384000,1,
456,FR 04/94,Moridae - undifferentiated,37224903,2,
456,FR 04/94,Myctophidae - undifferentiated,37122000,1,
456,FR 04/94,Order Anguilliformes - undifferentiated,37990025,1,
456,FR 04/94,Percophidae - undifferentiated,37393900,11,
456,FR 04/94,Pinguipedidae - undifferentiated,37390000,9,
456,FR 04/94,Platycephalidae - undifferentiated,37296900,2,
456,FR 04/94,Pseudorhombus spp.,37460919,1,
456,FR 04/94,Schuettea spp.,37356902,1,
456,FR 04/94,Serranidae subfam. Anthiinae,37311907,2,
456,FR 04/94,Sillago flindersi,37330014,1,
456,FR 04/94,Superclass Pisces - undifferentiated,37000000,10,Unidentified as too damaged or unknown
456,FR 04/94,Synodontidae - undifferentiated,37118906,4,
457,FR 04/94,Callionymidae - undifferentiated,37427917,1,
457,FR 04/94,Carangidae - undifferentiated,37337000,2,
457,FR 04/94,Dactyloptena spp.,37308902,1,
457,FR 04/94,Gonorynchus greyi,37141001,2,
457,FR 04/94,Platycephalidae - undifferentiated,37296900,2,
457,FR 04/94,Pleuronectidae - undifferentiated,37461916,1,
457,FR 04/94,Pomacentridae - undifferentiated,37372000,2,
457,FR 04/94,Superclass Pisces - undifferentiated,37000000,1,Unidentified as too damaged or unknown
458,FR 04/94,Argyrosomus japonicus,37354001,1,
458,FR 04/94,Blenniidae - undifferentiated,37408000,1,
458,FR 04/94,Callionymidae - undifferentiated,37427917,60,
458,FR 04/94,Cepola australis,37380001,11,
458,FR 04/94,Creediidae - undifferentiated,37395000,9,
458,FR 04/94,Cynoglossidae - undifferentiated,37463000,1,
458,FR 04/94,Gerres subfasciatus,37349005,1,
458,FR 04/94,Gobiidae - undifferentiated,37428000,2,
458,FR 04/94,Gonorynchus greyi,37141001,1,
458,FR 04/94,Gonostomatidae - undifferentiated,37106912,1,
458,FR 04/94,Hime spp.,37117902,1,
458,FR 04/94,Labridae - undifferentiated,37384000,1,
458,FR 04/94,Mugilidae - undifferentiated,37381000,1,
458,FR 04/94,Myctophidae - undifferentiated,37122000,2,
458,FR 04/94,Neosebastes spp.,37287927,1,
458,FR 04/94,Pempheris spp.,37357903,1,
458,FR 04/94,Percophidae - undifferentiated,37393900,3,
458,FR 04/94,Pinguipedidae - undifferentiated,37390000,1,
458,FR 04/94,Platycephalidae - undifferentiated,37296900,11,
458,FR 04/94,Pomacentridae - undifferentiated,37372000,3,
458,FR 04/94,Pseudorhombus spp.,37460919,1,
458,FR 04/94,Scorpaenidae - undifferentiated,37287900,4,
458,FR 04/94,Serranidae subfam. Anthiinae,37311907,7,
458,FR 04/94,Sillago flindersi,37330014,8,
